features_csv,model,accuracy,f1,precision,recall,auc,train_time
DTD_inceptionv3.csv,SVM,0.9938271604938271,0.9938223938223939,0.9941520467836258,0.9938271604938271,1.0,0.725273847579956
Wildfire_resnet50.csv,kNN,0.9872727272727273,0.9872730218358434,0.987279844573539,0.9872727272727273,0.9992130566466955,0.02763223648071289
Wildfire_resnet50.csv,NB,0.9872727272727273,0.9872733584293217,0.9873327370820231,0.9872727272727273,0.9888571466359825,0.036649227142333984
Wildfire_resnet50.csv,SVM,0.9854545454545455,0.9854553148415964,0.9855603305785123,0.9854545454545455,0.999497414328982,2.5943028926849365
Wildfire_inceptionv3.csv,SVM,0.9836363636363636,0.9836371751234136,0.9836965177000087,0.9836363636363636,0.99854514674179,2.083610773086548
Wildfire_vgg16.csv,SVM,0.9781818181818182,0.9781826837994845,0.9782094199422718,0.9781818181818182,0.99722255287069,0.6379680633544922
DTD_inceptionv3.csv,NB,0.9753086419753086,0.9752321981424148,0.9777777777777779,0.9753086419753086,0.9953703703703702,0.0068438053131103516
DTD_inceptionv3.csv,kNN,0.9753086419753086,0.9750741453527831,0.9771929824561403,0.9753086419753086,1.0,0.0076410770416259766
Wildfire_inceptionv3.csv,NB,0.9745454545454545,0.9745464643258992,0.9747794443823324,0.9745454545454545,0.9824624052692139,0.018779993057250977
Wildfire_inceptionv3.csv,kNN,0.9727272727272728,0.9727279039339506,0.9727349671065287,0.9727272727272728,0.9965546429657846,0.024138927459716797
Wildfire_vgg16.csv,Tree,0.9690909090909091,0.9690924418997813,0.9691516401719512,0.9690909090909091,0.9691637238953036,0.35057616233825684
Wildfire_resnet50.csv,Tree,0.9672727272727273,0.9672705627705628,0.9672939905878561,0.9672727272727273,0.967212897935431,1.46952223777771
Wildfire_vgg16.csv,NB,0.9636363636363636,0.9636378063324742,0.9636647347838684,0.9636363636363636,0.9830641854805645,0.006683826446533203
Wildfire_vgg16.csv,kNN,0.9581818181818181,0.9581529140581854,0.9604176513142031,0.9581818181818181,0.997566427277176,0.007438182830810547
Wildfire_inceptionv3.csv,Tree,0.9563636363636364,0.9563653674158278,0.9565947409990729,0.9563636363636364,0.956513113518232,2.037917137145996
DTD_resnet50.csv,SVM,0.9506172839506173,0.9511810793544541,0.9549707602339181,0.9506172839506173,0.9991426611796983,0.8798820972442627
DTD_resnet50.csv,kNN,0.9444444444444444,0.9445607476095281,0.9541244415386291,0.9444444444444444,0.9961848422496572,0.00620269775390625
DTD_vgg16.csv,SVM,0.9444444444444444,0.9445602465210309,0.9491368361982397,0.9444444444444444,0.9989283264746227,0.24716901779174805
DTD_resnet50.csv,NB,0.9382716049382716,0.9393431981667276,0.9459760512392091,0.9382716049382716,0.9810528120713305,0.005082130432128906
DTD_vgg16.csv,kNN,0.9074074074074074,0.9071101990129004,0.9229186639560402,0.9074074074074074,0.9883830589849109,0.0025491714477539062
DTD_inceptionv3.csv,Tree,0.8827160493827161,0.883891734872127,0.8888958383282428,0.8827160493827161,0.9340277777777778,0.499675989151001
DTD_vgg16.csv,NB,0.8765432098765432,0.8783745718229339,0.894456511649494,0.8765432098765432,0.9648491083676269,0.0020248889923095703
Covid19-XRAYS_resnet50.csv,SVM,0.84375,0.8430985255906701,0.84521484375,0.84375,0.8959583833533413,1.0693340301513672
DTD_resnet50.csv,Tree,0.8333333333333334,0.8338974427725718,0.8384260624327704,0.8333333333333334,0.90625,0.5420117378234863
Covid19-XRAYS_vgg16.csv,SVM,0.8258928571428571,0.8258405737622869,0.8258213141025641,0.8258928571428571,0.889795918367347,0.271867036819458
Covid19-XRAYS_inceptionv3.csv,SVM,0.8125,0.8110119047619049,0.8160425101214575,0.8125,0.869827931172469,1.0760271549224854
Covid19-XRAYS_resnet50.csv,kNN,0.7767857142857143,0.7746113726763537,0.7806023720349563,0.7767857142857143,0.854781912765106,0.011120080947875977
Covid19-XRAYS_vgg16.csv,kNN,0.7678571428571429,0.762218045112782,0.7823902288188002,0.7678571428571429,0.8697478991596639,0.0036878585815429688
DTD_vgg16.csv,Tree,0.7592592592592593,0.7577123885173421,0.7667052174405116,0.7592592592592593,0.8645833333333334,0.12459516525268555
Covid19-XRAYS_inceptionv3.csv,kNN,0.7544642857142857,0.75183506044905,0.7581676136363635,0.7544642857142857,0.8235294117647061,0.012810945510864258
